KEYid,School Name,State,City,School Ranking,ACT Avg,SAT Avg,HS GPA Avg,Total Enrollment,Acceptance Rate,Percent Receiving Aid,Cost after Aid,Total Tuiton,Is Public?
2851,SUNY College of Environmental Science and Forestry,NY,Syracuse,97,23,1070,3.7,1755,54.00%,0.00%,,18090,TRUE
9554,University at Buffalo--SUNY,NY,Buffalo,97,24,1070,3.6,20411,59.00%,28.00%,37040,26270,TRUE
3184,University of Oklahoma,OK,Norman,97,23,1060,3.6,22436,71.00%,13.00%,35144,24443,TRUE
3696,University of Vermont,VT,Burlington,97,25,1100,3.6,11159,69.00%,48.00%,36399,41356,TRUE
1009,Auburn University,AL,Auburn,103,24,1060,3.9,22658,81.00%,16.00%,39912,29640,TRUE
1691,Illinois Institute of Technology,IL,Chicago,103,26,1130,4,2944,57.00%,62.00%,29116,45864,TRUE
1710,Loyola University Chicago,IL,Chicago,103,24,1030,3.7,11129,73.00%,64.00%,38093,42828,TRUE
2589,University of New Hampshire,NH,Durham,103,22,990,3.5,12871,76.00%,56.00%,34826,32637,TRUE
3223,University of Oregon,OR,Eugene,103,22,980,3.6,20049,78.00%,7.00%,42682,34611,TRUE
3448,University of South Carolina,SC,Columbia,103,25,1120,,25556,68.00%,8.00%,41810,32362,TRUE
3530,University of Tennessee,TN,Knoxville,103,24,1040,3.9,22139,77.00%,33.00%,39170,31160,TRUE
